reviewId,content,score
27f70eef-d1db-4af2-b8eb-933acb22e87c,"Even when adjusting the in-app brightness bar on the left, the Netflix app limits the brightness to 40%. It can lower the brightness, but prevents raising it above 40%. I couldn't find any permissions to remove that related to this. Any help?",2
7541b8d2-a6b8-4199-bb10-6f24d715ff37,W fee,2
4d0c2470-cbea-42c5-a3f4-ca9dd82d280e,Great,5
45d089f2-5458-46c0-9e28-e717ce356508,Literally a cheaper and better alternative than paying for cable.. and this I can take anywhere with me.,5
d514cf0f-ec5e-4d33-acb4-64365383aed5,I don't have credit card and i cannot watch the video netflix and i cannot buy of priemieum,1
bf5fbdf3-0f37-449d-a046-9cd1d5b26bc8,Beyond expensive for mediocre service. Netflix has gone woke and it shows with the quality of TV shows and movies. Then there's them stopping account sharing.....Netflix was once a great company but not anymore.,1
219dad37-0c08-4a17-9246-e220e763a4e7,The app hasn't loaded for weeks. It's just a black blank screen .,1
1b0de053-58a0-4f98-a0b4-7ffd4b60e239,"Trouble in smart TV, cant do anything about it. Unfortunately it cannot be uninstall on my samsung smart TV, thus I can't reinstall it. Don't know what to do with it",2
1f2aeb5c-99ed-4b22-b9e7-1a62cd5bdcc3,It's the best app,5
d92c598a-e322-4d5a-94c6-03d79da67360,awesome :),5
1ce27624-206a-4f3c-aafc-d15d05642407,"The password sharing crackdown is bizarre, considering the Netflix shows are subpar at best.",1
64e683ff-4383-41fb-94c3-d91d6605274d,This app just makes itself worse with every update. Now you can't even manual control the resolution of your video. It's automatic. Before you could choose what setting you wanted nope not anymore. Why? No idea. They feel stripping us of control in the app is a good thing that will bring more users. Edit. YEAH MAKE NETFLIX AS WORSE AS EVERYTHING IN INDIA! GREAT PLAN!! Christ. You guys just WANT to lose money.,1
9627240b-5d34-4752-acd2-cd87dadd8427,It is Good,5
19428438-8401-4392-a474-c85315841056,What are y'all removing all my favourite movies out c'mon stopped just leave email in I ain't paying the highest membership for nothing???!!!!,2
85efda4d-413e-42b8-8afd-16f81b4d0faf,It says Free but it is not so it is trase,1
27766b92-cb69-4c90-a857-2b6de99c2ba3,I cannot download series and I'm frustrated 😤,1
f80eb5f3-b4f5-486a-b6a6-2d694d885c0a,"Anoying. Need to remove the new and hot garbage popping up instead on mobile first thing when you open the app. It should go straight to home. If I cared what a bunch of moronic consumers liked I would go look it up. Stop ruining a good thing... let us adjust our menu, I don't care what you want me to see. I can make my own dashboard choices just fine.",1
f853a95e-3427-4e69-b2ff-42f827eb5ba7,"I have a problem on an application, it does not work on my phone, I do not know what the reason is, two days ago it did not work, and I desperately need it to watch my favorite series 💔😣",1
d6209027-6f48-4416-a874-d78139f28b64,Very good performance,5
d718d9b7-3f87-49ca-9b2a-4e48d67d2890,Everything good 💯,5
